,Symbol,Datetime,Interval,Open,High,Low,Close,Volume,Exchange
76,ADANIPOWER,2025-03-03 14:13:00+05:30,1minute,485.5,486.0,485.25,485.65,4002,NSE_EQ
77,ADANIPOWER,2025-03-03 14:12:00+05:30,1minute,485.4,485.85,485.15,485.5,6176,NSE_EQ
78,ADANIPOWER,2025-03-03 14:11:00+05:30,1minute,485.05,485.7,484.85,485.4,11061,NSE_EQ
79,ADANIPOWER,2025-03-03 14:10:00+05:30,1minute,485.15,485.4,485.0,485.2,1619,NSE_EQ
80,ADANIPOWER,2025-03-03 14:09:00+05:30,1minute,484.6,485.45,484.6,484.95,3931,NSE_EQ
81,ADANIPOWER,2025-03-03 14:08:00+05:30,1minute,484.2,484.8,484.1,484.8,2785,NSE_EQ
82,ADANIPOWER,2025-03-03 14:07:00+05:30,1minute,485.0,485.05,484.2,484.2,2691,NSE_EQ
83,ADANIPOWER,2025-03-03 14:06:00+05:30,1minute,485.35,485.7,485.0,485.25,7659,NSE_EQ
84,ADANIPOWER,2025-03-03 14:05:00+05:30,1minute,485.1,485.5,485.05,485.35,7998,NSE_EQ
85,ADANIPOWER,2025-03-03 14:04:00+05:30,1minute,484.8,485.3,484.8,485.0,7693,NSE_EQ
86,ADANIPOWER,2025-03-03 14:03:00+05:30,1minute,484.4,484.9,484.2,484.8,4458,NSE_EQ
87,ADANIPOWER,2025-03-03 14:02:00+05:30,1minute,483.4,484.45,483.35,484.3,5291,NSE_EQ
88,ADANIPOWER,2025-03-03 14:01:00+05:30,1minute,483.45,483.7,482.8,483.4,2912,NSE_EQ
89,ADANIPOWER,2025-03-03 14:00:00+05:30,1minute,482.75,483.7,482.65,483.3,9848,NSE_EQ
90,ADANIPOWER,2025-03-03 13:59:00+05:30,1minute,483.25,483.25,482.55,482.75,4967,NSE_EQ
91,ADANIPOWER,2025-03-03 13:58:00+05:30,1minute,483.5,483.5,483.2,483.25,4305,NSE_EQ
92,ADANIPOWER,2025-03-03 13:57:00+05:30,1minute,483.3,483.7,483.1,483.5,7152,NSE_EQ
93,ADANIPOWER,2025-03-03 13:56:00+05:30,1minute,483.8,483.9,483.0,483.4,10138,NSE_EQ
94,ADANIPOWER,2025-03-03 13:55:00+05:30,1minute,484.45,484.7,483.55,483.95,10518,NSE_EQ
95,ADANIPOWER,2025-03-03 13:54:00+05:30,1minute,485.5,485.5,484.2,484.8,5309,NSE_EQ
96,ADANIPOWER,2025-03-03 13:53:00+05:30,1minute,485.3,485.7,485.25,485.5,2212,NSE_EQ
97,ADANIPOWER,2025-03-03 13:52:00+05:30,1minute,485.3,485.7,485.25,485.55,3586,NSE_EQ
98,ADANIPOWER,2025-03-03 13:51:00+05:30,1minute,486.15,486.2,485.25,485.45,4963,NSE_EQ
99,ADANIPOWER,2025-03-03 13:50:00+05:30,1minute,485.5,486.15,485.45,486.15,5607,NSE_EQ
100,ADANIPOWER,2025-03-03 13:49:00+05:30,1minute,485.45,486.2,485.15,485.5,9653,NSE_EQ
101,ADANIPOWER,2025-03-03 13:48:00+05:30,1minute,485.05,485.35,485.0,485.35,3279,NSE_EQ
102,ADANIPOWER,2025-03-03 13:47:00+05:30,1minute,485.05,485.45,484.65,485.15,2387,NSE_EQ
103,ADANIPOWER,2025-03-03 13:46:00+05:30,1minute,485.2,485.9,485.0,485.0,3277,NSE_EQ
104,ADANIPOWER,2025-03-03 13:45:00+05:30,1minute,485.0,485.65,485.0,485.2,10765,NSE_EQ
105,ADANIPOWER,2025-03-03 13:44:00+05:30,1minute,484.85,485.0,484.25,485.0,3458,NSE_EQ
106,ADANIPOWER,2025-03-03 13:43:00+05:30,1minute,484.95,485.0,484.35,484.55,3734,NSE_EQ
107,ADANIPOWER,2025-03-03 13:42:00+05:30,1minute,484.5,485.35,484.3,485.0,7062,NSE_EQ
108,ADANIPOWER,2025-03-03 13:41:00+05:30,1minute,484.25,484.5,484.1,484.3,2157,NSE_EQ
109,ADANIPOWER,2025-03-03 13:40:00+05:30,1minute,484.3,484.4,483.8,484.4,4149,NSE_EQ
110,ADANIPOWER,2025-03-03 13:39:00+05:30,1minute,484.7,484.8,484.3,484.3,4200,NSE_EQ
111,ADANIPOWER,2025-03-03 13:38:00+05:30,1minute,484.05,484.75,484.05,484.7,2144,NSE_EQ
112,ADANIPOWER,2025-03-03 13:37:00+05:30,1minute,484.0,484.35,483.6,484.25,2877,NSE_EQ
113,ADANIPOWER,2025-03-03 13:36:00+05:30,1minute,484.0,484.55,483.8,484.0,2800,NSE_EQ
114,ADANIPOWER,2025-03-03 13:35:00+05:30,1minute,483.55,484.7,483.5,483.7,5867,NSE_EQ
115,ADANIPOWER,2025-03-03 13:34:00+05:30,1minute,483.7,483.75,483.0,483.75,5063,NSE_EQ
116,ADANIPOWER,2025-03-03 13:33:00+05:30,1minute,482.85,483.85,482.65,483.85,9804,NSE_EQ
117,ADANIPOWER,2025-03-03 13:32:00+05:30,1minute,484.2,484.2,482.0,482.85,28562,NSE_EQ
118,ADANIPOWER,2025-03-03 13:31:00+05:30,1minute,484.25,484.6,484.0,484.4,4246,NSE_EQ
119,ADANIPOWER,2025-03-03 13:30:00+05:30,1minute,484.7,485.0,484.2,484.3,19108,NSE_EQ
120,ADANIPOWER,2025-03-03 13:29:00+05:30,1minute,484.8,485.0,483.75,484.6,11604,NSE_EQ
121,ADANIPOWER,2025-03-03 13:28:00+05:30,1minute,485.0,485.1,484.35,484.75,5520,NSE_EQ
122,ADANIPOWER,2025-03-03 13:27:00+05:30,1minute,485.0,485.6,484.6,484.8,18098,NSE_EQ
123,ADANIPOWER,2025-03-03 13:26:00+05:30,1minute,485.4,485.4,484.8,485.1,5605,NSE_EQ
124,ADANIPOWER,2025-03-03 13:25:00+05:30,1minute,485.4,485.4,485.0,485.2,1886,NSE_EQ
125,ADANIPOWER,2025-03-03 13:24:00+05:30,1minute,485.7,485.95,484.9,485.15,8679,NSE_EQ
126,ADANIPOWER,2025-03-03 13:23:00+05:30,1minute,485.5,486.0,485.4,485.85,3912,NSE_EQ
127,ADANIPOWER,2025-03-03 13:22:00+05:30,1minute,485.3,485.95,485.1,485.3,2919,NSE_EQ
128,ADANIPOWER,2025-03-03 13:21:00+05:30,1minute,485.8,485.8,484.35,485.25,11747,NSE_EQ
129,ADANIPOWER,2025-03-03 13:20:00+05:30,1minute,486.7,487.05,485.35,485.85,10992,NSE_EQ
130,ADANIPOWER,2025-03-03 13:19:00+05:30,1minute,487.35,487.4,486.7,486.95,8218,NSE_EQ
131,ADANIPOWER,2025-03-03 13:18:00+05:30,1minute,487.2,488.0,486.7,487.35,34657,NSE_EQ
132,ADANIPOWER,2025-03-03 13:17:00+05:30,1minute,486.4,487.2,486.3,486.95,19054,NSE_EQ
133,ADANIPOWER,2025-03-03 13:16:00+05:30,1minute,486.25,486.65,485.85,486.3,4458,NSE_EQ
134,ADANIPOWER,2025-03-03 13:15:00+05:30,1minute,486.45,486.8,486.0,486.15,11332,NSE_EQ
135,ADANIPOWER,2025-03-03 13:14:00+05:30,1minute,485.5,486.55,485.5,486.25,5427,NSE_EQ
136,ADANIPOWER,2025-03-03 13:13:00+05:30,1minute,486.2,486.5,485.45,485.5,4833,NSE_EQ
137,ADANIPOWER,2025-03-03 13:12:00+05:30,1minute,485.7,486.45,485.7,486.15,9158,NSE_EQ
138,ADANIPOWER,2025-03-03 13:11:00+05:30,1minute,485.55,485.7,485.35,485.55,2241,NSE_EQ
139,ADANIPOWER,2025-03-03 13:10:00+05:30,1minute,486.0,486.1,485.0,485.55,4737,NSE_EQ
140,ADANIPOWER,2025-03-03 13:09:00+05:30,1minute,484.55,486.0,484.45,486.0,9476,NSE_EQ
141,ADANIPOWER,2025-03-03 13:08:00+05:30,1minute,484.8,485.2,484.3,484.55,9716,NSE_EQ
142,ADANIPOWER,2025-03-03 13:07:00+05:30,1minute,484.75,484.95,484.3,484.8,1129,NSE_EQ
